Timestamp,Temperature,Pressure
28955235,5068,94199
48765857,5068,94199
67997421,5068,94199
106525444,5066,94184
129222345,5070,94191
151352948,5070,94179
170032120,5070,94179
189922116,5071,94171
209107587,5071,94205
229874816,5070,94179
250671627,5071,94182
280568887,5070,94168
302805843,5070,94202
325650399,5071,94194
354079128,5071,94194
376272283,5071,94205
397828307,5070,94191
436224352,5073,94186
461465503,5071,94182
483284390,5071,94182
503463394,5073,94174
524926971,5071,94182
549588856,5071,94182
569016043,5070,94179
589707804,5073,94197
609248949,5071,94194
629559723,5073,94186
648975504,5071,94182
668959093,5071,94194
688908203,5071,94182
707934039,5073,94197
727296227,5071,94194
747016225,5071,94194
766702577,5071,94194
788837763,5073,94186
808429168,5073,94174
827723127,5073,94197
846383550,5073,94197
865171732,5073,94197
884744803,5073,94186
903736057,5071,94182
922461948,5071,94194
941494971,5073,94197
961644549,5071,94194
981588867,5073,94220
1003919052,5071,94182
1023512176,5071,94194
1042676709,5071,94194
1061876033,5073,94186
1081096868,5073,94186
1100164423,5073,94186
1121834509,5073,94186
1140816440,5073,94186
1159420613,5073,94174
1178858373,5071,94171
1197578014,5071,94182
1216759161,5071,94182
1236546554,5075,94212
1256021554,5071,94194
1275046036,5071,94171
1295136447,5073,94186
1314667904,5073,94186
1334525922,5073,94186
1353828891,5073,94186
1372801134,5073,94186
1392699047,5073,94186
1411773268,5073,94197
1431022384,5075,94212
1450648007,5073,94197
1472735278,5071,94182
1491841217,5071,94182
1510611223,5073,94186
1529399353,5073,94186
1547960766,5071,94194
1567167434,5073,94197
1586555351,5073,94197
1605052077,5073,94186
1623390471,5073,94186
1642403078,5073,94186
1661143136,5073,94186
1680071473,5071,94194
1699717825,5071,94194
1718819807,5073,94197
1738478659,5073,94186
1757244081,5075,94200
1776313458,5071,94194
1795259920,5071,94182
1813842323,5071,94194
1832755139,5073,94186
1851534259,5071,94194
1870697490,5071,94194
1889792232,5073,94174
1909980872,5075,94178
1929387538,5071,94182
1947877858,5073,94186
1966914632,5075,94189
1986446871,5073,94186
2005668903,5073,94186
2023851569,5073,94197
2042790688,5075,94200
2061656421,5073,94186
2080821892,5075,94178
2101973284,5073,94186
2120875840,5073,94174
2139682356,5071,94182
2159659695,5073,94197
2178487929,5073,94197
2198810265,5075,94200
2218070735,5073,94197
2236769126,5073,94197
2255977669,5073,94186
2274496270,5075,94189
2293453149,5075,94189
2312683411,5073,94197
2331840704,5073,94208
2350948832,5073,94186
2369627744,5075,94189
2388770610,5075,94189
2408128892,5073,94197
2427092229,5075,94189
2446032233,5073,94186
2464685312,5073,94197
2483145267,5071,94194
2501640170,5073,94186
2521047202,5075,94200
2540353765,5073,94197
2588586866,5073,94186
2606650158,5073,94186
2625950524,5073,94186
2644870892,5073,94174
2663032777,5073,94197
2681846949,5075,94200
2699915970,5075,94200
2720250233,5071,94182
2738317900,5073,94186
2756851032,5071,94182
2775150937,5075,94200
2793402301,5073,94186
2812501626,5071,94182
2830347888,5075,94200
2848684199,5071,94194
2867177540,5073,94186
2885469580,5073,94186
2903639173,5073,94197
2922559021,5073,94174
2941232933,5073,94197
2959849606,5073,94197
2979661738,5075,94200
2998412317,5075,94178
3016975969,5075,94189
3038419182,5075,94189
3056489609,5073,94186
3074655401,5075,94212
3094197587,5073,94186
3112291921,5073,94186
3131569161,5073,94197
3150189011,5075,94200
3168140690,5075,94189
3187632303,5073,94208
3206732046,5073,94186
3225342417,5073,94186
3244773093,5075,94189
3262782063,5073,94186
3281285924,5075,94189
3299906556,5075,94200
3317913025,5075,94189
3337632606,5073,94174
3356065479,5071,94171
3374057105,5071,94182
3392934036,5073,94197
3411289617,5075,94189
3430269204,5071,94182
3449651756,5073,94174
3468056139,5073,94186
3487355151,5075,94178
3505400995,5071,94171
3523541161,5073,94186
3542036065,5075,94212
3560240553,5073,94174
3578421917,5071,94182
3597579055,5073,94186
3615688180,5075,94200
3633883450,5073,94197
3652151793,5075,94189
3670323573,5073,94186
3690441120,5075,94189
3709626434,5073,94186
3728530448,5075,94189
3747380193,5073,94197
3766238687,5075,94200
3785940872,5073,94174
3804945719,5073,94186
3823231405,5075,94189
3841618496,5075,94178
3859706684,5073,94186
3878327472,5075,94189
3900233962,5073,94197
3919100268,5075,94178
3938541258,5073,94197
3957960528,5073,94186
3978293385,5071,94182
3997539428,5073,94186
4016155841,5071,94194
4035315583,5073,94174
4053792725,5075,94189
4071928309,5073,94174
4090720136,5075,94178
4108714887,5075,94189
4127756401,5073,94197
4146604322,5073,94197
4164787457,5073,94174
4182816843,5075,94189
4200995082,5075,94200
4219986752,5073,94186
4239391439,5073,94186
4257605876,5073,94174
4275669377,5075,94189
4295420207,5073,94186
4313191679,5073,94174
4332118818,5071,94205
4351237622,5075,94200
4369819400,5073,94174
4393136764,5075,94189
4413140145,5073,94186
4431134427,5075,94212
4450532760,5073,94186
4469112819,5073,94186
4488588808,5071,94182
4506659704,5073,94186
4527865471,5073,94197
4546093345,5075,94200
4564665748,5073,94186
4587819415,5075,94189
4606085727,5075,94189
4624768910,5073,94208
4658687491,5075,94200
4679780758,5071,94194
4698731543,5075,94178
4716922803,5073,94197
4736014733,5075,94189
4755026611,5073,94197
4774228696,5071,94171
4798437459,5075,94189
4817007622,5073,94186
4836223509,5073,94208
4855178304,5075,94189
4875722149,5075,94189
4893865233,5073,94208
4912733935,5071,94194
4930771446,5073,94186
4949766605,5075,94189
4969031659,5073,94197
4987274220,5073,94197
5005280481,5075,94189
5024969073,5075,94189
5044238761,5071,94171
5062775748,5073,94174
5081700543,5073,94186
5101759757,5073,94186
5119958725,5071,94171
5139036540,5073,94174
5158689298,5073,94197
5176957016,5075,94200
5195402076,5073,94186
